timestamp,agent.name,rule.description,rule.level,rule.id
"Dec 14, 2025 @ 21:39:24.583",DESKTOP-T2IA3AS,Wazuh agent stopped.,3,506
"Dec 14, 2025 @ 21:38:27.053",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 21:38:27.038",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 21:38:27.022",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 21:38:27.013",DESKTOP-T2IA3AS,Registry Key Integrity Checksum Changed,5,594
"Dec 14, 2025 @ 21:38:27.010",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 21:38:27.010",DESKTOP-T2IA3AS,Registry Key Integrity Checksum Changed,5,594
"Dec 14, 2025 @ 21:38:20.961",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 21:38:20.946",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 21:38:20.930",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 21:38:20.915",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 21:38:20.899",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 21:38:20.883",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 21:38:20.873",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 21:38:20.873",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 21:38:20.873",DESKTOP-T2IA3AS,Registry Key Integrity Checksum Changed,5,594
"Dec 14, 2025 @ 21:37:28.673",DESKTOP-T2IA3AS,Software protection service scheduled successfully.,3,60642
"Dec 14, 2025 @ 21:37:09.778",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 21:37:09.761",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 21:37:09.745",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
